TIME,SL,EEG,BP,HR,CIRCLUATION,target
11313.2,49866,-7591,42,242,2464,0
32510.9,827634,-23198,171,886,22314,0
17334.1,218754,-11327,113,421,8088,0
7144.28,14075.8,-2340.85,88,120,809,1
7107.44,6872,-2936,46,120,400,0
9063.67,25554.9,-3100.25,38,157,1519,1
7233.48,11814,-3064,4,121,725,0
10407.4,48746.2,-3.30E+03,34,216,2677,1
15775,272396,-11567,218,386,10522,0
19991.6,332821,-12838,69,369,9818,0
9830.91,39579,-3987,38,182,1993,0
10170.7,53420,-4262,6,191,2596,0
8394.69,9873.86,-2364.55,12,123,621,1
8792.97,17246.8,-2813.43,72,142,844,1
6496.26,8463,-1578,11,117,553,0
7636.87,9368,-2372,28,106,553,0
8966.23,23807.4,-2844.75,18,154,1252,1
6696.48,4973.95,-2093.84,51,107,346,1
6470.74,8372,-2215,9,105,580,0
13925,66674.1,-3.83E+03,49,224,2192,1
8735.94,12233.8,-2451.14,79,128,693,1
7782.16,6518,-2882,27,120,458,0
6836.19,6597,-2753,10,118,429,0
6251.57,2015,-2135,13,88,133,0
8267.39,21257,-5098,12,166,1261,0
5830.89,6473,-1965,13,97,454,0
14036.3,59502,-6391,53,282,2133,0
6541.84,5810,-2687,9,88,369,0
21731.2,449537,-11569,64,449,12507,0
9095.83,27242.6,-2877.95,89,158,1403,1
9203.42,14199,-3623,27,193,774,0
15676,116818,-5.81E+03,54,271,4426,1
9629.54,39460.5,-2.17E+03,21,196,1885,1
15339.3,115658,-5.16E+03,57,271,4426,1
7856.64,16673.7,-2737.84,65,142,844,1
10306.7,18710,-6895,121,203,938,0
17148.6,152394,-7286,40,345,5525,0
9137.27,16652,-1355,35,116,767,0
5158.15,3682.71,-712.981,8,51,132,1
8512.69,29000,-3899,39,202,1637,0
13734.5,101644,-7282,53,258,4710,0
22006.2,412627,-8.41E+03,67,473,14125,1
9265.92,39015.3,-3.55E+03,22,196,1885,1
13505.4,49957.3,-4.00E+03,33,234,2464,1
7536,18370,-3568,67,138,977,0
24859.4,263467,-1.02E+04,68,540,8870,1
7046.89,8051.06,-2378.74,12,109,546,0
14716.5,58843.8,-5.40E+03,34,215,2188,1
11949.2,48448.3,3.80E+03,31,166,1414,1
17862.6,161520,2.24E+03,82,388,6290,1
14536.7,54081.8,-4.11E+03,40,215,2188,1
11563.2,45643,-6785.41,45,273,2061,0
6597.62,7644.06,-1647.9,69,104,457,1
13184.3,49160.4,-2.81E+03,51,223,2059,1
8786.72,22538.6,-3794.4,113,168,1210,0
8528.01,29555,-3098,41,171,1465,0
11699.7,26065,-4220,49,205,980,0
10795.3,26759,-4841,51,194,1312,0
14036.1,167774,-6902,43,307,7203,0
14635.7,134450,-5623,57,357,5958,0
15712.7,223021,-8267,68,359,8597,0
19195.2,139734,-10685,28,273,2610,0
11594.1,76018,-6502,61,260,3294,0
30150.6,835718,-14754,83,634,20638,0
8087.36,21649,-5202,23,148,1205,0
21889.1,181176,-8240,36,355,5126,0
12966.9,73230,-6851,179,283,3459,0
19416.5,225400,-9813,71,378,7096,0
11563.2,18955,-3677,8,183,895,0
16311.4,216020,-8490,76,375,7582,0
9412.21,52062.6,-2.65E+03,27,188,2599,1
13225.8,72614,-7054,39,252,2259,0
20226.9,213976,-10369,87,458,7466,0
8049,15594,-4192,28,140,771,0
11107.9,86447.4,-3.29E+03,20,220,3450,1
11333.5,114646,-4.96E+03,36,235,4905,1
11531.9,54310,-4786,79,216,2679,0
12779.2,67850,-5933,89,251,2827,0
15577.5,141482,-10038,97,346,5322,0
16741.2,61336,-7568,57,338,2329,0
9713.35,24778,-5033,16,171,1209,0
13304.8,75350.4,-4.95E+03,43,264,3217,1
9376.5,31445,-5167,13,178,1746,0
6069.9,3532,-2253,21,91,204,0
10447.9,27058,-3975,63,179,1211,0
10556.2,30070,-4387,28,184,1578,0
10207,85701.8,-4.40E+03,19,220,3450,1
9590.08,22703,-5147,98,178,1113,0
11277.6,43222,-4517,11,173,1414,0
24052.1,280611,-1.25E+04,80,540,8870,1
5537.33,8946,-2618,40,102,689,0
20363.8,167977,-8604,187,374,5026,0
18060.3,197832,-9019,64,388,7464,0
9639.56,51149.8,-3.84E+03,33,188,2599,1
21891.8,253713,-14229,79,484,8345,0
16341.2,173260,-6.96E+03,88,403,6746,1
5611.04,7166.24,-1631.18,49,93,545,1
10369.1,28559.3,-2553.57,12,133,1027,0
5815.17,9151,-2388,13,98,650,0
6957.35,9201.49,-3202.33,18,138,554,1
9635.05,26232.9,-3333.84,28,174,1415,1
18002.2,290568,-10453,71,466,10102,0
17305.8,171334,-2947,84,368,6522,0
16322.1,93216,-9195,75,376,3635,0
8171.24,15980,-4727,63,166,980,0
11944.1,82419,-6162,41,298,3716,0
7159.51,24153,-3204,31,158,1361,0
24375.7,242797,-8.51E+03,96,537,8350,1
16748.3,185838,-7232,176,379,5975,0
8406.26,13512.5,-2997.6,17,148,729,1
9593.41,27348,-5422,86,191,1522,0
14320.3,139595,-4.99E+03,39,315,5844,1
7062.94,14415.7,-2735.85,85,134,970,1
4153.58,1913.79,-1061.48,6,63,166,1
6857.27,5360.67,-2114.07,52,107,346,1
7409.61,16920,-2584,45,130,932,0
11010.5,38923,-3832,22,190,1870,0
13750.7,92062.8,-4.80E+03,62,254,3885,1
5785.37,7613,-1976,4,93,486,0
6810.85,13403.6,-1485.57,31,96,804,1
15061.8,133784,-13648,76,391,5531,0
6061.3,5005.46,-1.90E+03,8,79,292,1
9056.5,10080.5,-2.16E+03,35,154,587,1
14702.9,101934,-9408,170,348,4438,0
5077.3,3028.08,-1169.94,38,71,249,1
8144.05,10708.5,-2949.34,96,139,587,1
12502.1,114925,-2.56E+03,37,235,4905,1
8947.56,23763,-3870,42,184,1409,0
11593.5,55459,-5079,46,243,2605,0
5664.89,4274.62,-1475.72,122,88,318,1
12652.6,81162,-4287,45,263,3299,0
22791,521344,-10700,68,610,15699,0
14875.5,167346,-5778,98,323,6618,0
14111.6,82659,-7633,47,352,3803,0
7499.43,12417,-3644,25,129,845,0
15780.2,136299,-8626,192,362,5429,0
11457.7,48637,-6522,139,218,2466,0
6737.62,13291,-2455,24,137,850,0
4165.22,2063.3,-1064.24,10,63,166,1
24844.8,473574,-1.21E+04,60,483,15505,1
5348.69,3172.83,-1113.37,38,71,249,1
8616.65,9580.28,-2764.84,23,138,554,1
8443.81,12027.3,-2536.36,81,128,693,1
9698.23,37502,-4882,57,204,1935,0
9329.76,17087.5,-3916.6,76,172,973,1
5405.98,2476,-2410,6,82,184,0
7846.66,16384,-1691,20,127,973,0
14556.2,93967,-6772,55,291,3802,0
21033.3,410506,-1.08E+04,63,473,14125,1
12919.2,69153,-7129,37,251,3131,0
14918.4,158995,-10866,140,327,6621,0
13388.6,60626.6,-3.17E+03,42,247,2754,1
11954.5,31560.3,-3902.81,80,204,1692,1
7824.71,6349,-4205,41,125,399,0
12695.5,96388,-7025,41,284,4071,0
7685.07,12010,-4346,39,150,655,0
10834.7,85818.6,-2.60E+03,23,220,3450,1
14360.2,143436,-6156.5,164,308,6057,1
4973.97,3277.06,-1196.47,36,71,249,1
16031.2,200576,-9010,74,386,7345,0
4988.65,3936,-1846,10,78,315,0
14595.3,120076,-8354,46,323,4920,0
6341.04,4810.17,-2.10E+03,17,79,292,1
6731.36,10313.9,-3.11E+03,16,109,689,1
18691.3,375614,-15484,296,492,12664,0
22430.2,413501,-8.87E+03,69,473,14125,1
9293.42,14120,-4559,24,213,736,0
19649,371626,-8177,49,443,11717,0
16281.5,165928,-8677,61,374,5435,0
10469.3,71968,-9358,26,241,3453,0
12923.9,85868,-10960,55,307,3717,0
8843.26,12215.3,-2612.67,87,128,693,1
15324.6,71119,-6723,77,286,2608,0
12543.1,54065,-5042,33,235,2398,0
18018.7,160931,-9.76E+03,76,388,6290,1
27653.6,540607,-9850,140,588,16047,0
2629.08,47.9959,-2.83E+02,96,33,5,1
6342.39,3233,-1673,18,80,186,0
8232.92,17069,-2522,29,159,853,0
11569.5,54583,-4870,80,195,2596,0
7566.52,11630.4,-2756.84,77,128,693,1
9340.92,33045,-3581.49,87,176,1922,1
11002.4,44148.6,-3.50E+03,56,223,2059,1
26007.7,797757,-16135,76,601,20021,0
26509.4,641262,-14917,114,753,19047,0
16962.7,161572,-1.18E+04,69,388,6290,1
15667.9,80850,-3.22E+03,54,223,2059,1
4863.53,2930.5,-1196.01,38,71,249,1
6016.71,5795,-312,17,93,396,0
12353.2,66685,-7895,48,285,3059,0
23920.1,449777,-12469,112,545,12833,0
8029.93,21801,-4473,39,144,1207,0
8930.74,25206.3,-3118.67,37,157,1519,1
12033.1,48802.9,-5.70E+03,20,215,2188,1
14831.4,127495,-7075.76,50,322,5425,0
3781.38,1346.24,-603.663,28,40,100,1
11608.1,96538,-7983,23,286,4803,0
12527.9,129817,-7535,118,258,5414,0
5851.98,8934,-1916,14,117,651,0
6949.01,5268.03,-2146.81,59,107,346,1
7352.39,15320,-3916,32,149,934,0
19070,177856,-4.60E+03,96,403,6746,1
6755.25,29444,-2683,15,123,1680,0
13005.9,157352,-10049,37,289,6062,0
8340.98,19345.4,-2754.87,24,143,1066,0
12813,145727,-7123,27,279,5938,0
11559.4,43948.9,-5.94E+02,26,166,1414,1
13764.8,52080.5,-3.25E+03,36,234,2464,1
14662.4,91919,-7262,56,329,3979,0
7803.42,9919.31,-2.37E+03,45,154,587,1
21136.5,332035,-9141,98,478,12027,0
22649.8,306701,-10449,139,461,10392,0
11246.3,52726,-8662,147,245,2602,0
14015.4,51231.7,-3.85E+03,44,234,2464,1
9127.25,17748,-3210,19,186,936,0
14173.8,142739,-6059.63,175,308,6057,1
14948.3,55315,-5058,33,236,2063,0
14486.6,139315,-4.36E+03,40,315,5844,1
4602.71,3000.67,-1248.48,35,71,249,1
31469.2,1043200,-19470,138,740,29083,0
7567.11,14002,-3188,36,141,886,0
9356.83,23465,-5298,151,193,1206,0
8377.87,18759,-3778,61,146,979,0
7814.93,9272.76,-3042.6,15,138,554,1
8083.38,9591.18,-2841.86,18,138,554,1
28544.3,860196,-19382,153,802,23158,0
8361.25,9486.97,-2905.36,15,138,554,1
15336,82516.8,-2.66E+03,64,223,2059,1
10606.5,38262.6,-3778.36,27,193,2118,1
6919.05,7479,-1608,10,107,400,0
10520.6,42136,-4848,63,180,1524,0
2434.61,57.7841,-1.92E+02,92,33,5,1
25092.1,638393,-18966,95,683,18857,0
10398.7,31181,-4022,57,198,1581,0
7673.11,5614.66,-2321.41,62,114,296,0
22248.2,492155,-12958,109,501,14307,0
5407,4581,-2669,10,82,344,0
10803.6,63974,-4460,90,230,3205,0
20931.5,204786,-11710,281,482,6638,0
24567.6,433271,-14367,165,610,13977,0
7586.35,9521.97,-2417.68,15,123,621,1
10339.6,33791,-4031,52,230,1693,0
9572.85,23905,-3604,22,171,1259,0
18976.6,290677,-10296,63,405,9961,0
15177.6,192712,-9658,45,335,7450,0
6006.48,2913,-2344,54,96,206,0
12906.3,138711,-7160,38,280,5737,0
8045.61,17284,-3525,49,172,853,0
14693.5,77799.8,-2.54E+03,65,223,2059,1
15590.6,120161,-6.60E+03,46,271,4426,1
13221.9,105660,-5544,25,263,4808,0
7884.85,15607,-3144,73,162,815,0
14819.8,63136,-4510,57,250,2681,0
22899.8,375406,-10336,83,536,12508,0
6686.13,10452.5,-3.64E+03,16,109,689,1
20200.6,230684,-7.20E+03,110,537,8350,1
7904.1,15166.7,-2654.25,64,134,970,1
13686.4,80652.8,-5.86E+03,46,272,3539,1
4759.24,3347,-1279,30,69,271,0
9449.21,27381,-4797,32,206,1470,0
13087.8,79526,-6609,33,268,3380,0
16977.7,405596,-11372,94,439,14806,0
7463.28,14014,-2336.52,97,120,809,1
6572.41,8492,-2410,45,136,590,0
5023.05,3088.16,-789.74,42,51,132,1
9074.46,12262,-2786,43,157,622,0
8149.53,25143,-4452,25,169,1361,0
6843.7,16251,-3496,177,121,928,0
13793.3,101543,-9117,50,307,4536,0
6909.98,11797.8,-1569.96,26,105,765,1
14432.7,141336,-3.80E+03,53,315,5844,1
4938.58,3302,-1980,16,85,205,0
7484.99,9280.98,-3097.33,25,138,554,1
6981.92,6896,-2751,25,124,430,0
19017.1,163351,-3656.97,70,352,6744,1
8872.01,20199,-2388,31,157,1158,0
8962.13,30811,-3380,162,161,1578,0
9558.47,52234,-2.20E+03,40,188,2599,1
8880.52,19684,-1644,33,199,1117,0
21932.3,283892,-1.38E+04,77,540,8870,1
17054.4,61240,-7310,72,298,1529,0
13328.2,61568,-7150,4,211,1752,0
6680.56,10325,-3.01E+03,15,109,689,1
17012.1,164938,-10758,100,380,6517,0
10623.3,33413,-4174,132,161,1523,0
15055.5,81405,-4533,56,284,2762,0
24534.4,465689,-12609,55,498,12195,0
13741.9,86115,-9409,22,251,2752,0
14837.1,140123,-4.44E+03,46,315,5844,1
4404.16,1222,-1337,24,64,101,0
8840.07,16891,-2648.11,72,142,844,1
13734.9,219648,-6746,241,360,8602,0
9263.5,22821,-4929,55,228,1168,0
9222.12,23266.9,-5.05E+02,12,166,1111,1
15292.2,108000,-6.51E+03,52,322,4619,1
8236.59,10241.3,-2848.81,95,130,490,1
21628.1,204592,-10505,71,449,6986,0
15509.2,176044,-11186,113,338,5638,0
9409.19,26958.2,-2.13E+03,22,166,1414,1
12650.8,60516.4,-5.35E+03,30,247,2754,1
10343.5,35212,-3669,124,210,1697,0
8352.35,23162,-4456,16,149,1357,0
9618.57,32579,-4902,46,170,1689,0
13239.3,51962,-6367,129,272,2468,0
10485.4,82133,-6252,47,201,3531,0
12178.8,50551.5,-6.29E+03,41,234,2464,1
8377.62,13489.5,-3015.46,19,148,729,1
23258.5,362574,-13808,105,463,8476,0
9715.44,38207,-3087,151,191,1989,0
7652.77,14697,-2224,23,135,808,0
5574.82,2549,-1369,21,91,169,0
5561.99,3625,-1625,8,95,268,0
11482.5,67909,-4368,33,231,3128,0
11572.7,45735,-1.78E+03,44,223,2059,1
13002.5,52176,-4553,57,246,2393,0
15933.2,207510,-8092,87,361,8072,0
7130.15,13129,-3967,34,134,805,0
5635.71,2256,-1618,53,97,171,0
8269.35,10573.4,-2987.73,85,139,587,1
18219,269626,-13288,276,428,9806,0
15179.2,72177,-6459,143,280,2398,0
13435.8,88831,-4810,58,250,3051,0
14151.1,69442,-7350,143,257,2821,0
9935.58,40668,-3910,113,207,2061,0
15345.1,141843,-8581.76,213,362,5740,0
22897.6,257305,-8.68E+03,101,537,8350,1
15206.2,95961,-9006,183,368,4075,0
6057.51,7186.56,-1550.14,43,93,545,1
8158.47,12181,-2572.04,86,128,693,1
14174.7,163596,-7948,154,344,6859,0
7378.51,8098,-2667,26,112,431,0
9800.2,21348,-4167,23,170,1071,0
7398.41,13818.2,-2326.54,88,120,809,1
7167.8,10265,-2129,31,124,584,0
12808.4,59934,-5.10E+03,25,247,2754,1
7281.94,15030.4,-2472.11,38,134,970,1
12016,78920,-7044,190,261,3620,0
7191.85,11166,-2483,35,119,619,0
11044.6,57726.7,-966.844,82,217,2904,1
8713.91,12052.7,-2698.57,91,136,619,1
10506.6,71081,-7433,32,245,3454,0
8361.12,25345.5,-3136.89,24,157,1519,1
15256.8,138485,-7998,64,317,5630,0
11085.4,78515,-5622,28,213,3618,0
5236.42,4737,-1805,5,51,184,0
7678.11,9165,-3651,25,135,613,0
2796.03,70.2872,-3.59E+02,6,33,5,1
7621.89,23241,-4366,14,179,1413,0
7208.98,11303,-2790,9,124,767,0
6629.79,10259.5,-3.06E+03,16,109,689,1
11380.7,38544.4,-2.35E+03,34,166,1414,1
7685.73,6849,-2773,11,103,398,0
12846.2,79099.7,-6.10E+03,55,272,3539,1
14989.4,102157,-8431,58,357,4340,0
13165.5,60994,-5.09E+03,23,247,2754,1
15848.7,119511,-4.45E+03,57,271,4426,1
4006.16,3686,-2364,15,65,295,0
12927.3,80374.7,-5.90E+03,60,272,3539,1
6751.78,9353.05,-3313.33,20,138,554,1
26452,553265,-12980,114,617,16781,0
12754.4,27305,-7100,40,237,1311,0
7932.28,16783.5,-2803.48,58,142,844,1
8754.85,26567.1,-2.33E+03,18,156,1364,1
15337.3,121624,-5856,35,299,4918,0
8847.93,12225.7,-2716.89,93,136,619,1
8398.54,26080,-3730,32,157,1411,0
10822.5,85420.3,-2.46E+03,21,220,3450,1
12742.1,80184.4,-6.51E+03,62,272,3539,1
18230.4,149092,-7832,64,382,5226,0
14130.4,91252.4,-3.48E+03,73,254,3885,1
22998.6,363854,-14267,144,544,10847,0
13198.2,61444.7,-6.91E+03,31,247,2754,1
8826.68,52685.2,-3.74E+03,20,188,2599,1
7095.22,7539,-4593,16,131,454,0
7703.81,25476.7,-3131.72,28,157,1519,1
11991,50356.3,-3.15E+03,32,234,2464,1
14570.6,56037.8,-6922.6,51,286,2394,0
14027,127454,-8141,34,296,5313,0
11289.1,113918,-1.73E+03,53,235,4905,1
22075.1,201800,-9148,101,467,7223,0
13882.3,142880,-5.74E+03,51,315,5844,1
7895.89,15427.5,-2552.19,58,134,970,1
10930,73743,-5916,53,294,3627,0
7264.19,13372,-3638,47,111,726,0
20688.1,162818,-10958,111,420,5230,0
5232.84,3516.26,-839.097,47,51,132,0
12751.9,74416.7,-3.97E+03,27,249,3630,1
8676.28,22838,-5400,20,144,1023,0
15649.4,116269,-4.58E+03,52,271,4426,1
21750.2,414638,-5.53E+03,66,473,14125,1
13305.5,60465.1,-5.12E+03,30,247,2754,1
7330.76,6635,-3036,67,100,366,0
4523.19,2061.93,-1052.75,6,63,166,1
17362.5,161236,-1.20E+04,82,388,6290,1
9833.83,17330.6,-2931.17,15,145,888,0
9680.16,18674,-4377,21,177,1071,0
7299.89,14933,-3802,50,134,852,0
11306.7,91380.1,-5.91E+03,57,254,3885,1
13412.4,90687,-7771,50,291,3883,0
5055.66,2924.11,-1254.9,48,67,224,1
8631.11,31896,-5036,43,153,1570,0
15641.1,114464,-5.19E+03,53,271,4426,1
6130.52,5306,-2641,15,113,367,0
21265.3,293912,-14710,105,517,10114,0
13432.7,63286,-6229,10,211,1691,0
9600.17,16150,-3493,63,168,855,0
12826.6,53314,-4067,88,253,2003,0
9582.78,24374,-3804,20,179,1310,0
5366.53,4328.73,-1.26E+03,10,79,317,1
25845.5,319389,-9.04E+03,110,537,8350,1
9751.09,40153.7,-2.61E+03,26,196,1885,1
24516.6,356914,-12123,66,523,11426,0
11438.6,51774.5,-4.11E+03,24,216,2677,1
6325.75,6949,-1754,34,66,270,0
2482.99,59.1352,-4.17E+02,92,33,5,1
5222.18,3480.52,-818.913,49,51,132,1
8579.9,16131,-2548,20,129,929,0
7102.04,6777.61,-1901.88,49,104,427,0
8964.04,31004,-5077,15,163,1633,0
14119.7,51991.5,-2.69E+03,36,234,2464,1
11104.7,64963,-6135,45,238,3293,0
17089.5,196214,-9613,75,409,7585,0
19223.7,297232,-9824,113,413,8722,0
7201.94,13987,-2294.45,79,120,809,1
13204.5,142276,-8216,144,322,5630,0
7366.46,12163,-2908,25,123,767,0
34811.4,1245850,-21687,211,872,30795,0
5138.1,4218.52,-1580.13,119,88,318,1
6189.58,10266.9,-2.72E+03,15,109,689,1
12739.1,78916,-6889,41,276,3461,0
16195.3,131515,-7648,60,341,4822,0
13260.8,50625.8,-4.09E+03,33,234,2464,1
8474.64,12122.1,-2733.58,90,136,619,1
6358.01,10259,-2.83E+03,14,109,689,1
7696.01,5253.69,-2.50E+03,24,86,205,1
8892.49,21934.6,-2.59E+03,20,166,1111,1
12199.3,70392.6,-4030.37,27,203,2971,0
14491.2,60356,-6140,64,300,2139,0
10869.7,86577.3,-2.52E+03,22,220,3450,1
12897.7,111016,-6278,29,305,4428,0
21956.3,409323,-1.07E+04,67,473,14125,1
9252.26,12829,-3159,28,157,692,0
7404.95,10491,-2692,19,125,485,0
10801.5,22708,-4856,29,210,1115,0
5902.05,7151.62,-1807.09,69,104,457,1
11880.2,63118,-5779,64,237,2901,0
12829.9,187994,-8816,147,294,7952,0
10086,48506.7,-5.84E+03,41,216,2677,1
10867.8,60408,-6633,132,261,2828,0
12055.9,41302,-4261,114,222,1876,0
9517.93,26335.4,-3328.62,26,174,1415,1
5981.05,5907,-2220,16,92,370,0
13771.1,143816,-5771.46,160,308,6057,1
14356.5,142404,-6168.63,173,308,6057,1
15790.4,90020,-8703,111,329,3888,0
16033.7,115935,-4.68E+03,63,271,4426,1
13109.6,60817.6,-5.81E+03,28,247,2754,1
5342.4,5367,-1317,17,89,372,0
7519.28,4930.65,-1.79E+03,21,86,205,1
9024.62,13575.8,-2985.79,12,148,729,1
13154.8,50654.5,-5.18E+03,19,215,2188,1
9876.77,12132,-3185,92,162,622,0
4749.78,3179.71,-1176.65,35,71,249,1
7191.13,7212,-3103,23,114,460,0
14808.8,60452.2,-6619.5,161,305,2610,1
5577.21,5402,-1431,10,90,371,0
14861.5,144557,-5912.79,176,308,6057,1
15412.8,144651,-5812.1,176,308,6057,1
4321.38,1917.79,-1055.43,5,63,166,1
14124.7,139723,-6762,63,323,6399,0
9883.21,34646,-4441,40,187,1638,0
16301.3,111609,-2.30E+03,44,322,4619,1
8125.52,9240.44,-2994.65,18,138,554,1
11345.3,117926,-6098,51,254,5407,0
7619.84,14512.7,-2308.64,86,120,809,1
12271.9,114568,-3.35E+03,47,235,4905,1
6193.55,6603.99,-2222.61,12,105,459,0
11964.3,54731,-7620,50,278,2607,0
25082,253828,-8.88E+03,100,537,8350,1
11600.6,79400.6,-7.85E+03,37,272,3539,1
11146.1,49899,-5125,147,225,2251,0
15068.5,107553,-7120,44,302,4252,0
12916.3,54460,-5513,33,251,2261,0
14178.3,90986.3,-5.05E+03,51,254,3885,1
7134.62,12862,-2386,15,132,807,0
11017.3,85344.7,-3.15E+03,18,220,3450,1
11570.2,61963,-5535,46,254,2898,0
6817.23,5234.12,-2160.64,60,107,346,1
28487.4,551602,-16915,130,677,15870,0
13036.9,60446.9,-4.91E+03,25,247,2754,1
23006.3,318240,-10326,108,493,9419,0
21042.1,412354,-8.91E+03,62,473,14125,1
16684.6,148056,-8123,35,324,5526,0
10191.7,27998,-3089,41,151,1163,0
11749.3,76455,-4753,42,283,3293,0
9839.47,36237.8,-4585.34,116,196,1869,0
19469.2,227529,-8675,215,429,6760,0
10397.2,63745,-7230,81,244,3292,0
8973.04,16825,-2913,12,160,934,0
23214.2,265236,-1.08E+04,79,540,8870,1
11689.1,50180.3,-3.80E+03,37,224,2192,1
9360.72,39031.4,-2.81E+03,15,196,1885,1
5009.23,10692,-1550,13,89,762,0
8738.73,9762,-2121,29,127,618,0
12484,53275,-5933,59,229,2391,0
29793.1,553405,-20168,110,654,16421,0
11162.6,30961,-4284,12,212,1365,0
11824.3,37495,-4997,38,224,1697,0
6557.18,6092,-1570,33,105,371,0
5751.52,4112.01,-1575.83,126,88,318,1
22811.6,411253,-2.57E+03,68,473,14125,1
9556.11,32824,-3581.94,59,176,1922,1
9207.99,15307,-4511,83,160,735,0
4629.43,3223.47,-1232.17,34,71,249,1
4383.92,4147,-388,9,64,266,0
17164.7,113200,-11026,211,364,4157,0
9633.52,22985,-4130,135,183,1163,0
7905.92,8899,-1433,20,123,520,0
18097.2,237433,-9181,192,381,7710,0
24606.8,299501,-1.01E+04,99,537,8350,1
12379.2,87353,-5480,65,271,3972,0
8439.1,21103,-4415,7,109,654,0
9602.69,19717,-4447,29,187,1069,0
17528,157261,-10142,38,407,6409,0
10636.2,57285,-4128,19,207,2895,0
6532.25,3903.22,-7.92E+02,11,86,205,1
38405.3,1857700,-19959,200,807,40369,0
18504.7,168220,-8493,234,361,6176,0
20201.2,149687,-8964,120,430,5126,0
8045.91,18543,-3928,30,153,978,0
22493.6,254891,-1.19E+04,74,540,8870,1
7681.59,7974,-2144,23,137,488,0
11626.3,64482,-4866,25,198,2127,0
11366.4,53829,-2356,13,216,2329,0
21610.1,163389,-8886,77,436,5858,0
30791.5,611153,-16422,100,770,17713,0
8329.14,16866.5,-2652.22,76,142,844,1
24514.4,317109,-10145,110,511,11126,0
9206.07,19799,-3222,22,157,1108,0
7642.67,9572.21,-3020.07,21,138,554,1
10427.8,27043.6,-4338.42,42,214,1469,1
25556.1,393210,-13449,373,546,12353,0
13551.3,50057.4,-5.24E+03,27,215,2188,1
10334.2,85347.1,-2.90E+03,21,220,3450,1
5006.36,2888.96,-1267.94,52,67,224,1
14592.8,139693,-4.01E+03,42,315,5844,1
24269.1,265246,-1.24E+04,72,540,8870,1
24483.7,316185,-1.10E+04,87,540,8870,1
13400.7,74334,-6938,46,304,3461,0
9114.24,26567.4,-2.25E+03,29,156,1364,1
13098.7,59170,-6046,40,288,2826,0
9966.12,19698,-4183,55,193,982,0
13865.6,92685,-5.09E+03,63,254,3885,1
13198.4,78204,-5339,31,246,3367,0
11961.7,91536,-6886,27,275,4151,0
3350.73,1342.19,-129.783,0,40,100,1
9686.33,16971.7,-3892.23,75,172,973,1
15345.2,125831,-9607,36,336,5220,0
23674.6,302085,-9773,158,498,8488,0
23495,284244,-9.54E+03,80,540,8870,1
7809.34,8875,-3125,14,121,487,0
17444.8,126722,-8662,130,321,4343,0
25672,330982,-8.03E+03,98,537,8350,1
13640,42647.6,-3.59E+03,46,234,1581,1
17232.4,235537,-11576,65,467,9010,0
11884.7,50232,-5500,40,240,2327,0
7596.46,9174.25,-2852.2,29,138,554,1
14327.1,51238.7,-4.68E+03,39,234,2464,1
6983.26,10830.2,-3.00E+03,9,109,689,1
5677.43,4178.1,-1485.49,124,88,318,1
15356.8,60277,-5591,42,280,2678,0
13941.8,87127,-6004,29,314,3626,0
9651.9,41401.2,-3069.63,100,159,2181,1
10266.4,38266.7,-4345.53,35,193,2118,1
10761.9,58676.4,-4521.2,128,217,2904,1
9026.36,20893,-4983,113,173,1158,0
6785.63,5142.35,-2152.91,64,107,346,1
7925.06,16454,-4531,22,137,849,0
10650.3,24912.2,-1.74E+03,30,166,1111,1
6766.36,12382,-5008,5,145,773,0
14136.1,49985,-7186,119,254,2066,0
14848.1,52804,-5029,36,250,2062,0
14454.5,59920.7,-6744.41,163,305,2610,1
6861.95,10502.4,-3.27E+03,15,109,689,1
18799.6,300265,-9604,64,392,11108,0
17879.4,159581,-7847,96,389,5536,0
17941.1,161364,-1.01E+04,75,388,6290,1
23267.8,252878,-9.65E+03,99,537,8350,1
11896.6,57950,-5010,101,209,2602,0
10420.3,37040.3,-4127.33,106,205,1751,1
6706.93,10399.1,-2.76E+03,17,109,689,1
9092.99,19003,-3380,21,163,1018,0
12884.7,68386,-7200,55,261,3136,0
8189.83,17857,-3751,23,146,1066,0
7047.11,5279.36,-2147.09,59,107,346,1
4928.25,6519,-1629,8,79,453,0
12194.5,78899,-6759,204,276,3876,0
17684.5,111616,-5.29E+03,50,322,4619,1
21599.7,237846,4.39E+03,97,537,8350,1
10799.5,46067,-4567,18,193,2056,0
6608.48,13502.5,-1536.76,33,96,804,1
8521.28,31455.9,-5042.55,123,199,1696,0
10125.5,86607.4,-2.16E+03,23,220,3450,1
7157.78,5466.64,-2075.63,58,107,346,1
8785.26,33363,-4393,55,154,1572,0
6565.68,13120.2,-1532.69,14,96,804,1
7817.81,5783,-2414,8,119,346,0
4749.31,4414,-2567,9,81,317,0
15379.6,129045,-6456,65,335,4818,0
19068.5,248329,-1.41E+04,63,540,8870,1
8504.05,13863,-5049,105,149,807,0
11151.2,24320,-4891,29,204,1162,0
21160.3,346612,-10276,78,424,10963,0
12264.2,63536,-5835,90,241,2978,0
15023.9,162328,-5000,104,340,6860,0
8002.74,16577,-2570,19,129,928,0
7706.58,9787.82,-3214.57,24,138,554,1
10379.4,39071,-4039,24,193,1995,0
5678.97,4384,-1244,8,98,270,0
12872.7,51041.5,-4.28E+03,31,234,2464,1
